,movieId,mean_rating,number_of_ratings,title
0,356,4.164133738601824,329,Forrest Gump (1994)
1,318,4.429022082018927,317,"Shawshank Redemption, The (1994)"
2,296,4.197068403908795,307,Pulp Fiction (1994)
3,593,4.161290322580645,279,"Silence of the Lambs, The (1991)"
4,2571,4.192446043165468,278,"Matrix, The (1999)"
5,260,4.231075697211155,251,Star Wars: Episode IV - A New Hope (1977)
6,480,3.75,238,Jurassic Park (1993)
7,110,4.031645569620253,237,Braveheart (1995)
8,589,3.970982142857143,224,Terminator 2: Judgment Day (1991)
9,527,4.225,220,Schindler's List (1993)
10,2959,4.272935779816514,218,Fight Club (1999)
11,1,3.9209302325581397,215,Toy Story (1995)
12,1196,4.2156398104265405,211,Star Wars: Episode V - The Empire Strikes Back (1980)
13,2858,4.056372549019608,204,American Beauty (1999)
14,50,4.237745098039215,204,"Usual Suspects, The (1995)"
15,47,3.9753694581280787,203,Seven (a.k.a. Se7en) (1995)
16,780,3.4455445544554455,202,Independence Day (a.k.a. ID4) (1996)
17,150,3.845771144278607,201,Apollo 13 (1995)
18,1198,4.2075,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
19,4993,4.106060606060606,198,"Lord of the Rings: The Fellowship of the Ring, The (2001)"
20,1210,4.137755102040816,196,Star Wars: Episode VI - Return of the Jedi (1983)
21,858,4.2890625,192,"Godfather, The (1972)"
22,457,3.9921052631578946,190,"Fugitive, The (1993)"
23,592,3.4285714285714284,189,Batman (1989)
24,2028,4.1462765957446805,188,Saving Private Ryan (1998)
25,5952,4.0212765957446805,188,"Lord of the Rings: The Two Towers, The (2002)"
26,7153,4.118918918918919,185,"Lord of the Rings: The Return of the King, The (2003)"
27,588,3.7923497267759565,183,Aladdin (1992)
28,608,4.116022099447513,181,Fargo (1996)
29,2762,3.893854748603352,179,"Sixth Sense, The (1999)"
30,380,3.497191011235955,178,True Lies (1994)
31,32,3.983050847457627,177,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,364,3.941860465116279,172,"Lion King, The (1994)"
33,377,3.5292397660818713,171,Speed (1994)
34,1270,4.038011695906433,171,Back to the Future (1985)
35,3578,3.9382352941176473,170,Gladiator (2000)
36,4306,3.8676470588235294,170,Shrek (2001)
37,1580,3.487878787878788,165,Men in Black (a.k.a. MIB) (1997)
38,590,3.8353658536585367,164,Dances with Wolves (1990)
39,648,3.537037037037037,162,Mission: Impossible (1996)
40,344,3.040372670807453,161,Ace Ventura: Pet Detective (1994)
41,4226,4.122641509433962,159,Memento (2000)
42,367,3.1847133757961785,157,"Mask, The (1994)"
43,6539,3.778523489932886,149,Pirates of the Caribbean: The Curse of the Black Pearl (2003)
44,58559,4.238255033557047,149,"Dark Knight, The (2008)"
45,1214,3.969178082191781,146,Alien (1979)
46,595,3.7705479452054793,146,Beauty and the Beast (1991)
47,1036,3.8620689655172415,145,Die Hard (1988)
48,500,3.388888888888889,144,Mrs. Doubtfire (1993)
49,165,3.5555555555555554,144,Die Hard: With a Vengeance (1995)
50,1265,3.944055944055944,143,Groundhog Day (1993)
51,79132,4.066433566433567,143,Inception (2010)
52,1197,4.232394366197183,142,"Princess Bride, The (1987)"
53,6377,3.9609929078014185,141,Finding Nemo (2003)
54,1704,4.078014184397163,141,Good Will Hunting (1997)
55,1291,4.046428571428572,140,Indiana Jones and the Last Crusade (1989)
56,1721,3.414285714285714,140,Titanic (1997)
57,316,3.375,140,Stargate (1994)
58,2628,3.107142857142857,140,Star Wars: Episode I - The Phantom Menace (1999)
59,153,2.9160583941605838,137,Batman Forever (1995)
60,1136,4.161764705882353,136,Monty Python and the Holy Grail (1975)
61,597,3.4851851851851854,135,Pretty Woman (1990)
62,293,4.018796992481203,133,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
63,3793,3.699248120300752,133,X-Men (2000)
64,1193,4.203007518796992,133,One Flew Over the Cuckoo's Nest (1975)
65,231,3.0601503759398496,133,Dumb & Dumber (Dumb and Dumber) (1994)
66,10,3.496212121212121,132,GoldenEye (1995)
67,4886,3.871212121212121,132,"Monsters, Inc. (2001)"
68,1089,4.202290076335878,131,Reservoir Dogs (1992)
69,6874,3.9618320610687023,131,Kill Bill: Vol. 1 (2003)
70,1240,3.8969465648854964,131,"Terminator, The (1984)"
71,7361,4.1603053435114505,131,Eternal Sunshine of the Spotless Mind (2004)
72,2329,4.217054263565892,129,American History X (1998)
73,1221,4.25968992248062,129,"Godfather: Part II, The (1974)"
74,34,3.65234375,128,Babe (1995)
75,1200,3.9642857142857144,126,Aliens (1986)
76,1213,4.25,126,Goodfellas (1990)
77,1682,3.812,125,"Truman Show, The (1998)"
78,8961,3.836,125,"Incredibles, The (2004)"
79,541,4.100806451612903,124,Blade Runner (1982)
80,736,3.321138211382114,123,Twister (1996)
81,4995,4.0,123,"Beautiful Mind, A (2001)"
82,5349,3.540983606557377,122,Spider-Man (2002)
83,1097,3.7663934426229506,122,E.T. the Extra-Terrestrial (1982)
84,2683,3.1983471074380163,121,Austin Powers: The Spy Who Shagged Me (1999)
85,733,3.6404958677685952,121,"Rock, The (1996)"
86,2716,3.775,120,Ghostbusters (a.k.a. Ghost Busters) (1984)
87,1206,3.995833333333333,120,"Clockwork Orange, A (1971)"
88,4973,4.183333333333334,120,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
89,5445,3.6375,120,Minority Report (2002)
90,1073,3.8739495798319328,119,Willy Wonka & the Chocolate Factory (1971)
91,4963,3.8445378151260505,119,Ocean's Eleven (2001)
92,586,2.9956896551724137,116,Home Alone (1990)
93,33794,3.8620689655172415,116,Batman Begins (2005)
94,1527,3.7456896551724137,116,"Fifth Element, The (1997)"
95,587,3.4347826086956523,115,Ghost (1990)
96,5989,3.9217391304347826,115,Catch Me If You Can (2002)
97,208,2.9130434782608696,115,Waterworld (1995)
98,1968,3.7787610619469025,113,"Breakfast Club, The (1985)"
99,185,3.0401785714285716,112,"Net, The (1995)"
100,5418,3.8169642857142856,112,"Bourne Identity, The (2002)"
101,3147,4.148648648648648,111,"Green Mile, The (1999)"
102,349,3.6045454545454545,110,Clear and Present Danger (1994)
103,7438,3.868181818181818,110,Kill Bill: Vol. 2 (2004)
104,3996,3.8363636363636364,110,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
105,2,3.4318181818181817,110,Jumanji (1995)
106,924,3.8944954128440368,109,2001: A Space Odyssey (1968)
107,1258,4.08256880733945,109,"Shining, The (1980)"
108,4878,3.981651376146789,109,Donnie Darko (2001)
109,253,3.458715596330275,109,Interview with the Vampire: The Vampire Chronicles (1994)
110,2918,3.8394495412844036,109,Ferris Bueller's Day Off (1986)
111,329,3.3935185185185186,108,Star Trek: Generations (1994)
112,2115,3.638888888888889,108,Indiana Jones and the Temple of Doom (1984)
113,1208,4.219626168224299,107,Apocalypse Now (1979)
114,4896,3.7616822429906542,107,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)
115,48516,4.252336448598131,107,"Departed, The (2006)"
116,1732,3.9245283018867925,106,"Big Lebowski, The (1998)"
117,539,3.4716981132075473,106,Sleepless in Seattle (1993)
118,1923,3.676190476190476,105,There's Something About Mary (1998)
119,68954,4.004761904761905,105,Up (2009)
120,60069,4.0576923076923075,104,WALL·E (2008)
121,111,4.105769230769231,104,Taxi Driver (1976)
122,39,3.293269230769231,104,Clueless (1995)
123,223,3.855769230769231,104,Clerks (1994)
124,357,3.5194174757281553,103,Four Weddings and a Funeral (1994)
125,161,3.6359223300970873,103,Crimson Tide (1995)
126,2706,3.378640776699029,103,American Pie (1999)
127,5816,3.5980392156862746,102,Harry Potter and the Chamber of Secrets (2002)
128,6,3.946078431372549,102,Heat (1995)
129,1222,4.098039215686274,102,Full Metal Jacket (1987)
130,778,4.03921568627451,102,Trainspotting (1996)
131,434,3.0346534653465347,101,Cliffhanger (1993)
132,454,3.5346534653465347,101,"Firm, The (1993)"
133,292,3.4257425742574257,101,Outbreak (1995)
134,1517,3.535,100,Austin Powers: International Man of Mystery (1997)
135,44191,3.885,100,V for Vendetta (2006)
136,912,4.24,100,Casablanca (1942)
137,4022,3.7,100,Cast Away (2000)
138,104,3.4393939393939394,99,Happy Gilmore (1996)
139,2997,3.9545454545454546,99,Being John Malkovich (1999)
140,339,3.4693877551020407,98,While You Were Sleeping (1995)
141,72998,3.6030927835051547,97,Avatar (2009)
142,2987,3.5721649484536084,97,Who Framed Roger Rabbit? (1988)
143,1617,4.061855670103093,97,L.A. Confidential (1997)
144,750,4.268041237113402,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
145,3114,3.8608247422680413,97,Toy Story 2 (1999)
146,1784,3.6979166666666665,96,As Good as It Gets (1997)
147,1961,3.8072916666666665,96,Rain Man (1988)
148,3949,3.921875,96,Requiem for a Dream (2000)
149,6365,3.3541666666666665,96,"Matrix Reloaded, The (2003)"
150,2502,4.090425531914893,94,Office Space (1999)
151,4027,3.8085106382978724,94,"O Brother, Where Art Thou? (2000)"
152,59315,3.824468085106383,94,Iron Man (2008)
153,551,3.553763440860215,93,"Nightmare Before Christmas, The (1993)"
154,4011,4.155913978494624,93,Snatch (2000)
155,8368,3.913978494623656,93,Harry Potter and the Prisoner of Azkaban (2004)
156,1917,3.0543478260869565,92,Armageddon (1998)
157,288,3.233695652173913,92,Natural Born Killers (1994)
158,8360,3.5760869565217392,92,Shrek 2 (2004)
159,919,3.880434782608696,92,"Wizard of Oz, The (1939)"
160,5378,3.157608695652174,92,Star Wars: Episode II - Attack of the Clones (2002)
161,2355,3.516304347826087,92,"Bug's Life, A (1998)"
162,2396,3.777173913043478,92,Shakespeare in Love (1998)
163,1356,3.879120879120879,91,Star Trek: First Contact (1996)
164,2797,3.71978021978022,91,Big (1988)
165,1259,4.0054945054945055,91,Stand by Me (1986)
166,1387,4.0054945054945055,91,Jaws (1975)
167,3948,3.4175824175824174,91,Meet the Parents (2000)
168,2174,3.4725274725274726,91,Beetlejuice (1988)
169,48780,4.0055555555555555,90,"Prestige, The (2006)"
170,1610,3.8722222222222222,90,"Hunt for Red October, The (1990)"
171,1080,3.9269662921348316,89,Monty Python's Life of Brian (1979)
172,21,3.49438202247191,89,Get Shorty (1995)
173,2324,4.1477272727272725,88,Life Is Beautiful (La Vita è bella) (1997)
174,2012,3.3693181818181817,88,Back to the Future Part III (1990)
175,68157,4.136363636363637,88,Inglourious Basterds (2009)
176,19,2.727272727272727,88,Ace Ventura: When Nature Calls (1995)
177,2916,3.653409090909091,88,Total Recall (1990)
178,2617,3.1206896551724137,87,"Mummy, The (1999)"
179,2791,3.8563218390804597,87,Airplane! (1980)
180,2011,3.5057471264367814,87,Back to the Future Part II (1989)
181,5618,4.155172413793103,87,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
182,1246,3.9593023255813953,86,Dead Poets Society (1989)
183,1653,3.953488372093023,86,Gattaca (1997)
184,1391,3.0930232558139537,86,Mars Attacks! (1996)
185,141,3.494186046511628,86,"Birdcage, The (1996)"
186,5218,3.6882352941176473,85,Ice Age (2002)
187,1393,3.5941176470588236,85,Jerry Maguire (1996)
188,1307,3.8588235294117648,85,When Harry Met Sally... (1989)
189,904,4.261904761904762,84,Rear Window (1954)
190,1220,3.8095238095238093,84,"Blues Brothers, The (1980)"
191,32587,3.857142857142857,84,Sin City (2005)
192,95,3.0238095238095237,84,Broken Arrow (1996)
193,410,3.1011904761904763,84,Addams Family Values (1993)
194,3897,3.8674698795180724,83,Almost Famous (2000)
195,1101,3.3012048192771086,83,Top Gun (1986)
196,1219,4.036144578313253,83,Psycho (1960)
197,1584,3.652439024390244,82,Contact (1997)
198,788,2.731707317073171,82,"Nutty Professor, The (1996)"
199,16,3.926829268292683,82,Casino (1995)
200,442,3.0925925925925926,81,Demolition Man (1993)
201,300,3.5185185185185186,81,Quiz Show (1994)
202,54286,3.697530864197531,81,"Bourne Ultimatum, The (2007)"
203,49272,3.9444444444444446,81,Casino Royale (2006)
204,48394,3.814814814814815,81,"Pan's Labyrinth (Laberinto del fauno, El) (2006)"
205,317,3.2037037037037037,81,"Santa Clause, The (1994)"
206,62,3.70625,80,Mr. Holland's Opus (1995)
207,2291,3.7,80,Edward Scissorhands (1990)
208,1676,3.33125,80,Starship Troopers (1997)
209,51662,3.68125,80,300 (2007)
210,8636,3.8037974683544302,79,Spider-Man 2 (2004)
211,6934,3.151898734177215,79,"Matrix Revolutions, The (2003)"
212,1247,4.063291139240507,79,"Graduate, The (1967)"
213,3052,3.6455696202531644,79,Dogma (1999)
214,3751,3.551282051282051,78,Chicken Run (2000)
215,33493,3.4294871794871793,78,Star Wars: Episode III - Revenge of the Sith (2005)
216,8874,4.0064935064935066,77,Shaun of the Dead (2004)
217,594,3.616883116883117,77,Snow White and the Seven Dwarfs (1937)
218,1625,3.7012987012987013,77,"Game, The (1997)"
219,337,3.7662337662337664,77,What's Eating Gilbert Grape (1993)
220,3623,2.7142857142857144,77,Mission: Impossible II (2000)
221,1573,3.3701298701298703,77,Face/Off (1997)
222,46578,3.883116883116883,77,Little Miss Sunshine (2006)
223,440,3.5460526315789473,76,Dave (1993)
224,2700,3.861842105263158,76,"South Park: Bigger, Longer and Uncut (1999)"
225,69122,3.6315789473684212,76,"Hangover, The (2009)"
226,91529,3.9934210526315788,76,"Dark Knight Rises, The (2012)"
227,6333,3.723684210526316,76,X2: X-Men United (2003)
228,25,3.625,76,Leaving Las Vegas (1995)
229,1225,4.184210526315789,76,Amadeus (1984)
230,6016,4.1466666666666665,75,City of God (Cidade de Deus) (2002)
231,2000,3.6733333333333333,75,Lethal Weapon (1987)
232,3481,3.6666666666666665,75,High Fidelity (2000)
233,8665,3.7866666666666666,75,"Bourne Supremacy, The (2004)"
234,2692,4.0,75,Run Lola Run (Lola rennt) (1998)
235,3175,3.58,75,Galaxy Quest (1999)
236,35836,3.5472972972972974,74,"40-Year-Old Virgin, The (2005)"
237,1485,3.0337837837837838,74,Liar Liar (1997)
238,368,3.5,74,Maverick (1994)
239,6711,4.033783783783784,74,Lost in Translation (2003)
240,3994,3.4794520547945207,73,Unbreakable (2000)
241,109487,3.993150684931507,73,Interstellar (2014)
242,3977,2.7222222222222223,72,Charlie's Angels (2000)
243,1201,4.145833333333333,72,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
